title,url,servings,prepTime,cookTime,totalTime,ingredients,directions,nutrition_calories,nutrition_total_fat,nutrition_saturated_fat,nutrition_cholesterol,nutrition_sodium,nutrition_total_carbohydrate,nutrition_dietary_fiber,nutrition_total_sugars,nutrition_protein,nutrition_vitamin_c,nutrition_calcium,nutrition_iron,nutrition_potassium
Authentic Chinese Egg Rolls (from a Chinese person),https://www.allrecipes.com/recipe/61913/authentic-chinese-egg-rolls-from-a-chinese-person/,20,1h 0m,30m,2h 30m,"4 teaspoons vegetable oil, divided | 3 large eggs, beaten | 1 medium head cabbage, finely shredded | 0.5 carrot, julienned | 1 pound Chinese barbequed or roasted pork, cut into matchsticks | 1 (8 ounce) can shredded bamboo shoots | 1 cup dried, shredded wood ear mushroom, rehydrated | 2 green onions, thinly sliced | 2.5 teaspoons soy sauce | 1 teaspoon salt | 1 teaspoon sugar | 0.5 teaspoon monosodium glutamate (MSG) | 1 (14 ounce) package egg roll wrappers | 1 egg white, beaten | 4 cups oil for frying, or as needed","2. Heat 1 teaspoon vegetable oil in a wok or large skillet over medium heat. Pour in beaten eggs and cook, without stirring, until firmed up. Flip eggs over and cook for an additional 20 seconds to firm the other side. Set egg pancake aside to cool, then slice into thin strips. | 3. Heat remaining vegetable oil in a wok or large skillet over high heat. Stir in cabbage and carrot; cook for 2 minutes to wilt. Add pork, bamboo shoots, mushroom, green onions, soy sauce, salt, sugar, and MSG; continue cooking until vegetables soften, about 6 minutes. Stir in sliced egg, then spread the mixture out onto a pan, and refrigerate until cold, about 1 hour. | 4. To assemble the egg rolls: Place a wrapper onto your work surface with one corner pointing towards you. Place about 3 tablespoons of cooled filling in a heap onto the bottom third of the wrapper. Brush a little beaten egg white onto the top two edges of the wrapper, then fold the bottom corner over the filling and roll firmly to the halfway point. Fold the left and right sides snugly over the egg roll, then continue rolling until the top corners seal the egg roll with the egg white. Repeat with remaining egg roll wrappers, covering finished egg rolls with plastic wrap to keep from drying out. | 5. Heat about 6 inches of oil in a wok or deep-fryer to 350 degrees F (175 degrees C). | 6. Fry egg rolls 3 or 4 at a time until golden brown, 5 to 7 minutes. Drain on paper towels.",169kcal,7g,1g,46mg,315mg,16g,3g,2g,10g,17mg,38mg,1mg,232mg
Chicken Fried Rice,https://www.allrecipes.com/recipe/16954/chinese-chicken-fried-rice-ii/,4,5m,10m,15m,"1 egg | 1 tablespoon water | 1 tablespoon butter | 1 tablespoon vegetable oil | 1 onion, chopped | 2 cups cooked white rice, cold | 1 cup cooked, chopped chicken meat | 2 tablespoons soy sauce | 1 teaspoon ground black pepper","2. Gather all ingredients. | 3. Beat egg and water together in small bowl. Melt butter in a large skillet or wok over medium-low heat; add egg and cook without stirring, 1 to 2 minutes. Remove egg from skillet and cut into shreds; set aside. | 4. Heat oil in the same skillet. Add onion; cook and stir until soft, about 3 minutes. Stir in rice, chicken, soy sauce, and pepper. Cook and stir for about 5 minutes; stir in shredded egg. Serve hot.",255kcal,10g,3g,83mg,516mg,26g,1g,1g,14g,2mg,31mg,2mg,172mg
Pork Lo Mein,https://www.allrecipes.com/recipe/231523/pork-lo-mein/,4,15m,15m,30m,"1 (8 ounce) package linguine | 0.33333334326744 cup low-sodium soy sauce | 2 tablespoons rice vinegar | 2 teaspoons cornstarch | 1 teaspoon white sugar | 0.5 teaspoon sesame oil | 2 tablespoons canola oil | 2 cups snap peas | 1 small sweet onion, chopped | 1 (12 ounce) pork tenderloin, cut into thin strips | 1 (8 ounce) package sliced white mushrooms | 1 medium red bell pepper, chopped | 3 cloves garlic, chopped, divided | 0.5 teaspoon chopped fresh ginger, or to taste | 3 green onions, sliced","2. Bring a large pot of lightly salted water to a boil; cook the linguine at a boil until tender yet firm to the bite, 8 to 9 minutes; drain. | 3. Meanwhile, whisk soy sauce, vinegar, cornstarch, sugar, and sesame oil together in a small bowl. | 4. Heat canola oil in a large skillet over medium-high heat. Add snap peas and onion; cook and stir until onion is translucent, about 2 minutes. Add pork, mushrooms, red bell pepper, 1/3 of the garlic, and ginger; cook until pork is no longer pink, about 2 minutes. | 5. Add remaining garlic to the skillet and cook until fragrant, about 1 minute. Pour in soy sauce mixture; cook and stir until sauce thickens, about 1 minute. Remove from the heat. | 6. Stir linguine into the skillet until coated; sprinkle green onions over top.",415kcal,11g,2g,37mg,794mg,55g,5g,7g,26g,73mg,60mg,4mg,762mg
Szechwan Shrimp,https://www.allrecipes.com/recipe/86230/szechwan-shrimp/,4,10m,5m,15m,"4 tablespoons water | 2 tablespoons ketchup | 1 tablespoon soy sauce | 2 teaspoons cornstarch | 1 teaspoon honey | 0.5 teaspoon crushed red pepper | 0.25 teaspoon ground ginger | 1 tablespoon vegetable oil | 0.25 cup sliced green onions | 4 cloves garlic, minced | 12 ounces cooked shrimp, tails removed","2. Stir together water, ketchup, soy sauce, cornstarch, honey, crushed red pepper, and ground ginger in a small bowl until combined. Set aside. | 3. Heat oil in a large skillet over medium-high heat. Cook and stir green onions and garlic in hot oil until fragrant, about 30 seconds. Stir in cooked shrimp; toss to coat with oil. Pour in ketchup mixture. Cook and stir until sauce is bubbly and thickened.",142kcal,4g,1g,164mg,500mg,7g,0g,4g,18g,5mg,46mg,3mg,231mg
Szechuan Beef,https://www.allrecipes.com/recipe/20095/szechuan-beef/,6,10m,10m,40m,"1 tablespoon soy sauce | 2 teaspoons cornstarch | 1 clove garlic, minced | 0.25 teaspoon crushed red pepper | 1 pound sirloin steak, cut into bite size strips | 2 tablespoons vegetable oil | 3 cups fresh broccoli florets | 2 small onions, cut into wedges | 1 (8 ounce) can water chestnuts, drained | 0.25 cup chicken broth | 0.5 cup peanuts","2. Stir together soy sauce, cornstarch, garlic, and crushed red pepper in a non-metal bowl. Add steak and toss to coat. Cover the bowl and refrigerate for 20 minutes. | 3. Heat oil in a wok or large skillet over high heat. Stir-fry beef in hot oil until no longer pink, about 5 minutes. Add broccoli, onions, and water chestnuts; cook and stir for 2 minutes. Pour in broth and bring to a boil. Stir in peanuts; cook for 1 minute and serve hot.",306kcal,21g,5g,44mg,243mg,13g,4g,3g,18g,43mg,46mg,3mg,501mg
Orange Chicken,https://www.allrecipes.com/recipe/61024/asian-orange-chicken/,4,20m,20m,2h 50m,"1.5 cups water | 0.33333334326744 cup rice vinegar | 0.25 cup lemon juice | 2.5 tablespoons soy sauce | 2 tablespoons orange juice | 1 cup packed brown sugar | 2 tablespoons chopped green onion | 1 tablespoon grated orange zest | 0.5 teaspoon minced fresh ginger root | 0.5 teaspoon minced garlic | 0.25 teaspoon red pepper flakes | 3 tablespoons cornstarch | 2 tablespoons water | 2 large skinless, boneless chicken breasts, cut into 1/2-inch cubes | 1 cup all-purpose flour | 0.25 teaspoon salt | 0.25 teaspoon pepper | 3 tablespoons olive oil","2. Gather all ingredients. | 3. Combine water, rice vinegar, lemon juice, soy sauce, and orange juice for sauce into a saucepan over medium-high heat. Stir in brown sugar, green onion, orange zest, ginger, garlic, and pepper flakes; bring to a boil. Remove from heat, and cool for 10 to 15 minutes. | 4. Place chicken in a resealable plastic bag. Pour in 1 cup cooled sauce. Seal the bag, and refrigerate for at least 2 hours. Reserve the remaining sauce. | 5. Mix flour, salt, and pepper in another resealable plastic bag. | 6. Remove chicken from the marinade and place into the bag of seasoned flour. Seal the bag and shake to coat. | 7. Heat the olive oil in a large skillet over medium heat. Cook chicken in the hot skillet until browned on both sides. | 8. Remove to a paper towel-lined plate and cover with aluminum foil. Wipe out the skillet. | 9. Pour reserved sauce into the skillet and bring to a boil over medium-high heat. Mix together cornstarch and water until completely smooth. Stir into the boiling sauce. | 10. Reduce heat to medium-low, add the chicken, and simmer, stirring occasionally, until cooked through, about 5 minutes. | 11. Serve over rice and enjoy!",445kcal,11g,2g,34mg,763mg,69g,1g,37g,18g,not provided,not provided,not provided,not provided
Chicken in Black Bean Sauce,https://www.allrecipes.com/recipe/246187/chicken-in-garlic-and-black-bean-sauce/,6,15m,15m,50m,"1 tablespoon cornstarch | 1 tablespoon water | 1 tablespoon soy sauce | 1.5 teaspoons white sugar | 1 teaspoon salt | 6 skinless, boneless chicken breast halves, sliced | 1 cup bean sprouts | 1/4 cup water | 2 teaspoons oyster sauce | 1 teaspoon white sugar | 1 tablespoon vegetable oil | 3 tablespoons black bean sauce with garlic | 1 tablespoon chopped garlic | 1 onion, finely sliced | 0.5 bell pepper, chopped | 2 teaspoons cornstarch | 1 tablespoon water","2. To make the marinade: Mix 1 tablespoon cornstarch with 1 tablespoon water in a bowl; stir in light soy sauce, sugar, and salt. Add chicken; toss to combine. Set aside to marinate for 20 minutes. | 3. Bring water to a boil in a saucepan. Add bean sprouts; cook just until blanched, about 30 seconds; drain and set aside. | 4. Combine 1/4 cup water, oyster sauce, and sugar together in a small bowl; set aside. | 5. Heat vegetable oil in a skillet over high heat. Add black bean sauce and chopped garlic; cook and stir until fragrant, about 1 minute. Add onion; cook and stir until soft, 3 to 4 minutes. | 6. Add chicken and marinade mixture; stir-fry until cooked through and no longer pink in the middle, about 4 to 5 minutes. Stir in oyster sauce mixture; cook until heated through. Cover and simmer until flavors blend, about 1 or 2 minutes. Stir in bell pepper; cover and cook until softened, 1 to 2 minutes more. | 7. Dissolve 2 teaspoons cornstarch in 1 tablespoon water. Stir in bean sprouts and cornstarch mixture; cook until sauce is thickened, 2 to 3 minutes more.",266kcal,8g,2g,102mg,453mg,9g,1g,4g,38g,18mg,32mg,2mg,410mg
Bang Bang Chicken,https://www.allrecipes.com/recipe/273785/bang-bang-chicken/,4,15m,10m,40m,"0.33333334326744 cup milk | 1 large egg | 1 pound boneless, skinless chicken breasts, cut into 1-inch cubes | 0.25 cup potato starch | 0.25 cup all-purpose flour | 0.5 teaspoon salt | 0.25 teaspoon ground black pepper | 0.25 teaspoon shichimi togarashi (Japanese red pepper condiment) | 2 cups oil for frying, or as needed | 0.25 cup mayonnaise | 2 tablespoons honey | 2 tablespoons sweet chili sauce | 1 teaspoon gochujang (Korean hot pepper paste)","2. Whisk together milk and egg in a large bowl until well combined. Add chicken; stir to coat and allow to marinate for 15 minutes. Drain and discard egg mixture. | 3. Combine potato starch, flour, salt, pepper, and shichimi in a medium bowl. Pour into a large plastic resealable bag. Add chicken; seal the bag and shake until chicken is well coated. | 4. Heat 2 inches oil in a deep saucepan over medium heat to 325 degrees F (165 degrees C). Working in batches of about 5 to 8 pieces at a time, cook chicken in hot oil for about 90 seconds. Remove to a paper towel-lined plate; keep each batch separate. | 5. Increase oil temperature to 350 degrees F (175 degrees C). The oil should be continuously boiling at this point. Carefully re-add the first batch of chicken and fry for another 90 seconds. | 6. Remove to another paper towel-lined plate. Repeat with remaining batches of chicken. | 7. Mix together mayonnaise, honey, sweet chili sauce, and gochujang in a large serving bowl until combined. | 8. Toss fried chicken with sauce to coat. Serve and enjoy!",404kcal,21g,4g,112mg,546mg,27g,1g,13g,27g,0mg,48mg,2mg,261mg
Chinese Broccoli,https://www.allrecipes.com/recipe/128750/chinese-broccoli/,4,10m,10m,20m,"1 bunch Gai Lan (Chinese broccoli), trimmed | 3 tablespoons hoisin sauce | 2 tablespoons white sugar | 2 tablespoons soy sauce | 1 tablespoon cornstarch | 1 tablespoon rice vinegar | 1 tablespoon sesame oil | 2 cloves garlic, minced | 1 teaspoon minced fresh ginger root","2. Gather all ingredients. | 3. Bring a large pot of lightly salted water to a boil. Cook Chinese broccoli in boiling water, uncovered, until just tender, about 4 minutes. | 4. Drain and place in a shallow bowl. | 5. Whisk together hoisin sauce, sugar, soy sauce, cornstarch, rice vinegar, sesame oil, garlic, and ginger in a small saucepan over medium heat until sauce is thickened and no longer cloudy, 5 to 7 minutes. | 6. Pour sauce over broccoli; toss to coat and serve.",101kcal,4g,1g,0mg,634mg,15g,1g,10g,1g,7mg,32mg,0mg,115mg
Shrimp Egg Foo Young,https://www.allrecipes.com/recipe/163370/shrimp-egg-foo-young/,4,5m,20m,25m,8 ounces fresh bean sprouts | 1 cup cooked small shrimp | 4 eggs | 0.33333334326744 cup thinly sliced green onions | 0.25 teaspoon garlic powder | 2 tablespoons vegetable oil | 3 cups chicken broth | 2 tablespoons cornstarch | 2 tablespoons sugar | 2 tablespoons Chinese cooking wine | 2 tablespoons soy sauce,"2. Mix bean sprouts, shrimp, eggs, green onions, and garlic powder together in a large bowl until well combined. | 3. Heat oil in a skillet over medium heat. Add about 1/2 cup of egg mixture into the skillet to make a patty. Repeat to add more egg patties to the skillet. Working in batches, fry patties until golden brown, about 4 minutes per side. | 4. Meanwhile, to make the sauce: Whisk chicken broth, cornstarch, sugar, cooking wine, and soy sauce together in a saucepan over medium-low heat; simmer until sauce thickens, about 5 minutes. | 5. Spoon sauce over egg patties.",227kcal,12g,3g,248mg,598mg,15g,1g,9g,15g,10mg,54mg,3mg,252mg
Restaurant Style Egg Drop Soup,https://www.allrecipes.com/recipe/45515/restaurant-style-egg-drop-soup/,4,10m,10m,20m,"4 cups chicken broth, divided | 2 tablespoons chopped fresh chives | 0.25 teaspoon salt | 0.125 teaspoon ground ginger | 1.5 tablespoons cornstarch | 2 eggs | 1 egg yolk","2. Gather all ingredients. | 3. Reserve 3/4 cup of chicken broth, and pour the rest into a large saucepan. Stir in chives, salt, and ginger; bring to a rolling boil. Stir reserved 3/4 cup of broth and cornstarch until smooth. Set aside. | 4. Whisk eggs and egg yolk together in a small bowl with a fork. Using a fork, drizzle eggs, a little at a time, into boiling broth. Eggs will cook immediately. | 5. Stir in cornstarch mixture gradually until soup reaches desired consistency.",76kcal,4g,1g,149mg,1143mg,4g,0g,1g,5g,1mg,20mg,1mg,43mg
Grilled Asian Chicken,https://www.allrecipes.com/recipe/8919/grilled-asian-chicken/,4,15m,15m,45m,"0.25 cup soy sauce | 2 tablespoons honey | 4 teaspoons sesame oil | 2 cloves garlic, crushed | 3 slices fresh ginger root | 4 skinless, boneless chicken breast halves","2. Gather all ingredients. | 3. Combine soy sauce, honey, sesame oil, garlic, and ginger in a small microwave-safe bowl; heat in the microwave on medium power for 1 minute, then stir. Heat again for 30 seconds, watching closely to prevent boiling. | 4. Place chicken breasts in a shallow dish. Pour soy sauce mixture over top and set aside to marinate for 15 minutes. | 5. Preheat an outdoor grill for medium-high heat and lightly oil the grate. Meanwhile, remove chicken from marinade; transfer marinade into a small saucepan and bring to a boil. Reduce heat to low and simmer until thick, about 1 minute. Set aside for basting. | 6. Cook chicken on the preheated grill, basting frequently with reserved marinade, until golden brown on all sides and chicken is no longer pink in the center, about 6 to 8 minutes per side. An instant-read meat thermometer inserted into the thickest piece should read at least 160 degrees F (70 degrees C).",217kcal,8g,2g,67mg,961mg,11g,0g,9g,26g,1mg,19mg,1mg,255mg
Honey Walnut Shrimp,https://www.allrecipes.com/recipe/93234/honey-walnut-shrimp/,4,15m,20m,35m,"1 cup water | 0.66666668653488 cup white sugar | 0.5 cup walnuts | 4 large egg whites | 0.66666668653488 cup mochiko (glutinous rice flour) | 1 cup vegetable oil for frying | 1 pound large shrimp, peeled and deveined | 0.25 cup mayonnaise | 2 tablespoons honey | 1 tablespoon canned sweetened condensed milk","2. Gather all ingredients. | 3. Stir water and sugar together in a small saucepan over high heat. Bring to a boil and add walnuts. Boil for 2 minutes, then drain and place walnuts on a cookie sheet to dry. | 4. Whip egg whites in a medium bowl until foamy. Stir in mochiko until it has a pasty consistency. | 5. Heat oil in a heavy deep skillet over medium-high heat. Dip shrimp in mochiko batter, then fry in batches in hot oil until golden brown, about 5 minutes. | 6. Remove with a slotted spoon and drain on paper towels. | 7. Stir together mayonnaise, honey, and sweetened condensed milk in a medium serving bowl. | 8. Add fried shrimp and toss to coat with sauce. Sprinkle candied walnuts on top and serve.",605kcal,26g,4g,179mg,340mg,68g,2g,45g,26g,2mg,69mg,3mg,317mg
Chinese Black Bean Sauce,https://www.allrecipes.com/recipe/282584/chinese-black-bean-sauce/,15,15m,20m,35m,"8 ounces dried fermented black beans | 1.5 cups vegetable oil | 4 Thai chiles, chopped | 1 medium shallot, minced | 1 (2 inch) piece fresh ginger, peeled and grated | 3 cloves garlic, minced | 3 tablespoons reduced-sodium tamari | 2 tablespoons Shaoxing rice wine | 1 teaspoon brown sugar | 0.5 teaspoon ground Sichuan pepper | 0.5 teaspoon Chinese five-spice powder | 1 teaspoon sesame oil","2. Rinse black beans thoroughly and dry. Remove about 1/4 cup and set aside. Roughly chop the rest of the beans. | 3. Heat vegetable oil in a large saucepan over medium-low heat. Add chiles, shallot, ginger, and garlic. Fry until soft and fragrant, about 5 minutes. Do not let the ingredients burn. Reduce the heat if necessary. The objective is to slow cook the ingredients. | 4. Add all the beans; both chopped and whole. Simmer, stirring often, until the beans are soft, about 2 minutes. Add tamari, rice wine, brown sugar, ground Sichuan pepper, and five spice. Simmer until thickened, stirring often. Remove from heat; let cool, about 10 minutes. | 5. Mix in sesame oil and cover. As the sauce rests, the beans will settle and the oil will float, creating a barrier which will protect it from mold. The sauce is ready to use or store in an airtight container in the refrigerator for up to 1 month.",211kcal,22g,4g,not provided,203mg,3g,0g,1g,1g,30mg,7mg,0mg,67mg
Chinese Chicken Fried Rice,https://www.allrecipes.com/recipe/17161/chinese-chicken-fried-rice-i/,7,25m,15m,40m,"0.5 tablespoon sesame oil | 1 onion, diced | 1.5 pounds cooked, cubed chicken meat | 2 tablespoons soy sauce | 2 large carrots, diced | 2 stalks celery, diced | 1 large red bell pepper, diced | 0.75 cup fresh pea pods, halved | 0.5 large green bell pepper, diced | 6 cups cooked white rice | 2 large eggs, scrambled | 0.33333334326744 cup soy sauce","2. Heat sesame oil in a large skillet over medium heat. Add onion and sauté until soft. Add cooked chicken and 2 tablespoons soy sauce; stir-fry for 5 to 6 minutes. | 3. Stir in carrots, celery, red bell pepper, pea pods, and green bell pepper; stir-fry for 5 minutes. Mix in cooked rice until thoroughly combined. | 4. Stir in scrambled eggs and 1/3 cup soy sauce; cook until heated through and serve hot.",425kcal,10g,3g,134mg,1060mg,48g,3g,4g,35g,48mg,60mg,4mg,504mg
Crispy Ginger Beef,https://www.allrecipes.com/recipe/237807/crispy-ginger-beef/,5,25m,20m,45m,"0.75 cup cornstarch | 0.5 cup water | 2 large eggs | 1 pound flank steak, cut into thin strips | 0.5 cup canola oil, or as needed | 1 large carrot, cut into matchstick-size pieces | 1 green bell pepper, cut into matchstick-size pieces | 1 red bell pepper, cut into matchstick-size pieces | 3 green onions, chopped | 0.25 cup minced fresh ginger root | 5 garlic cloves, minced | 0.5 cup white sugar | 0.25 cup rice vinegar | 3 tablespoons soy sauce | 1 tablespoon sesame oil | 1 tablespoon red pepper flakes, or to taste","2. Place cornstarch in a large bowl; gradually whisk in water until smooth. Whisk eggs into cornstarch mixture; toss steak strips in mixture to coat. | 3. Pour canola oil into a wok, 1-inch deep; heat oil over high heat until hot but not smoking. Place 1/4 of the beef strips into hot oil; separate strips with a fork. Cook, stirring frequently, until coating is crisp and golden, about 3 minutes. Remove beef to drain on paper towels; repeat with remaining beef. | 4. Drain off all but 1 tablespoon oil; cook and stir carrot, bell peppers, green onions, ginger, and garlic over high heat until lightly browned but still crisp, about 3 minutes. | 5. Whisk sugar, rice vinegar, soy sauce, sesame oil, and red pepper flakes together in a small bowl. Pour sauce mixture over vegetables in wok; bring mixture to a boil. Stir beef back into vegetable mixture; cook and stir just until heated through, about 3 minutes.",364kcal,14g,4g,103mg,614mg,45g,2g,23g,15g,54mg,39mg,3mg,398mg
Moo Goo Gai Pan,https://www.allrecipes.com/recipe/165846/moo-goo-gai-pan/,4,20m,15m,35m,"2 tablespoons vegetable oil, divided | 2 cups chopped broccoli florets | 1 cup sliced fresh mushrooms | 1 (15 ounce) can whole straw mushrooms, drained | 1 (8 ounce) can sliced bamboo shoots, drained | 1 (8 ounce) can sliced water chestnuts, drained | 2 cloves garlic, minced | 1 pound skinless, boneless chicken breast, cut into strips | 0.25 cup chicken broth | 1 tablespoon cornstarch | 1 tablespoon white sugar | 1 tablespoon soy sauce | 1 tablespoon oyster sauce | 1 tablespoon rice wine","2. Heat 1 tablespoon oil in a wok over high heat until it begins to smoke. Stir in broccoli and fresh mushrooms, then add straw mushrooms, bamboo shoots, and water chestnuts. Stir-fry until broccoli is tender and all vegetables are hot, about 5 minutes. Transfer to a bowl and wipe out the wok. | 3. Heat remaining 1 tablespoon oil in the wok over high heat until it begins to smoke. Add garlic and stir-fry until it turns golden, a few seconds. Add chicken and stir-fry until browned on the edges and no longer pink in the center, about 5 minutes. | 4. Stir broth, cornstarch, sugar, soy sauce, oyster sauce, and rice wine together in a small bowl; pour over chicken in the wok and bring to a boil, stirring constantly. Boil until sauce thickens and is no longer cloudy, about 30 seconds. Return vegetables to the wok; toss with sauce and cook until heated through, about 1 minute.",307kcal,10g,2g,66mg,833mg,23g,6g,not provided,34g,43mg,55mg,4mg,695mg
Sweet and Sour Pork,https://www.allrecipes.com/recipe/31144/sweet-and-sour-pork-iii/,4,30m,30m,2h 0m,"1 pound pork butt, cut into 1 inch cubes | 1 teaspoon soy sauce | 1 teaspoon salt | 0.25 teaspoon white sugar | 1 egg white | 2 green onions, chopped | 1 quart vegetable oil for frying | 0.5 cup cornstarch | 1 tablespoon vegetable oil | 3 stalks celery, cut into 1/2 inch pieces | 1 medium green bell pepper, cut into 1 inch pieces | 1 medium onion, cut into wedges | 1 pinch white sugar, or to taste | salt to taste | 1.25 cups water, divided | 0.75 cup white sugar | 0.33333334326744 cup apple cider vinegar | 0.25 cup ketchup | 0.5 teaspoon soy sauce | 0.25 teaspoon salt | 1 (8 ounce) can pineapple chunks, undrained | 2 tablespoons cornstarch","2. Gather all ingredients. | 3. Place cubed pork in a medium bowl and season with soy sauce, salt, and sugar for marinade. | 4. Add egg white and green onions and mix until well-combined. Cover and place in the refrigerator for at least 1 hour. | 5. Heat 1 quart oil to 365 degrees F (185 degrees C) in a large, heavy saucepan or deep fryer. Coat pork with cornstarch. | 6. Fry in hot oil until evenly browned, about 10 minutes. Drain on paper towels and set aside. | 7. Heat oil for vegetables in a wok over medium heat. Stir in celery, bell pepper, and onion; cook until tender, about 5 minutes. Season with pinch of sugar and salt. Remove from heat and set aside. | 8. Mix 1 cup water, 3/4 cup sugar, apple cider vinegar, ketchup, soy sauce, and salt in a large saucepan; bring to a boil over high heat. | 9. Stir in cooked pork, celery mixture, and pineapple chunks with juice. | 10. Return to a boil, then mix in remaining 1/4 cup water and cornstarch. Cook until thickened and warmed through, about 2 minutes.",663kcal,35g,7g,43mg,1085mg,75g,2g,52g,14g,36mg,57mg,2mg,517mg
